Title,Price,Rating,Reviews,Category,URL
RC ERA C138 Bell 206 2.4G 6CH 6-Axis Gyro 1:33 Scale Altitude Hold Flybarless RC Helicopter RTF,US$59.99,4.87,669 reviews,RC Helicopter,https://www.banggood.com/RC-ERA-C138-Bell-206-2_4G-6CH-6-Axis-Gyro-1-33-Scale-Altitude-Hold-Flybarless-RC-Helicopter-RTF-p-2016971.html?cur_warehouse=CN&ID=6287832629254863258716327840&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
Eachine E190 1:34 UH-1 HUEY Scale 2.4G 6CH Altitude Hold Optical Flow Positioning Dual Brushless Motor RC Helicopter,US$206.99,4.93,232 reviews,RC Helicopter,https://www.banggood.com/Eachine-E190-1-34-UH-1-HUEY-Scale-2_4G-6CH-Altitude-Hold-Optical-Flow-Positioning-Dual-Brushless-Motor-RC-Helicopter-p-2023374.html?cur_warehouse=CN&ID=6292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
RC ERA C189 MD500 2.4G 4CH UAV 1:28 Fixed Height Single Blade Flybarless RC Helicopter RTF,US$126.99,4.79,529 reviews,RC Helicopter,https://www.banggood.com/RC-ERA-C189-MD500-2_4G-4CH-UAV-1-28-Fixed-Height-Single-Blade-Flybarless-RC-Helicopter-RTF-p-1995135.html?cur_warehouse=CN&ID=628784262925566325871&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
GOOSKY S1 New Edition 6CH 3D Aerobatic Dual Brushless Direct Drive Motor RC Helicopter Adds ELRS Interface with GTS Flight Control System BNF/RTF,US$194.37,4.86,295 reviews,RC Helicopter,https://www.banggood.com/GOOSKY-S1-New-Edition-6CH-3D-Aerobatic-Dual-Brushless-Direct-Drive-Motor-RC-Helicopter-Adds-ELRS-Interface-with-GTS-Flight-Control-System-BNF-or-RTF-p-1996404.html?cur_warehouse=CN&ID=51723862878516292548&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
Eachine E120 2.4G 4CH 6-Axis Gyro Optical Flow Localization Flybarless BO-105 Scale RC Helicopter RTF,US$52.99,4.81,840 reviews,RC Helicopter,https://www.banggood.com/Eachine-E120-2_4G-4CH-6-Axis-Gyro-Optical-Flow-Localization-Flybarless-BO-105-Scale-RC-Helicopter-RTF-p-1953348.html?cur_warehouse=CN&ID=424816292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
XK K170 UH-60L 2.4G 4CH 6-Axis Gyro Brushless Motor Military Green RC Helicopter RTF,US$68.99,4.94,68 reviews,RC Helicopter,https://www.banggood.com/XK-K170-UH-60L-2_4G-4CH-6-Axis-Gyro-Brushless-Motor-Military-Green-RC-Helicopter-RTF-p-2027874.html?cur_warehouse=CN&ID=6292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
RC ERA C123 2.4G 6CH 6-Axis Gyro Optical Flow Localization Altitude Hold 1:36 EC135 Scale RC Helicopter RTF,US$120.99,4.80,156 reviews,RC Helicopter,https://www.banggood.com/RC-ERA-C123-2_4G-6CH-6-Axis-Gyro-Optical-Flow-Localization-Altitude-Hold-1-36-EC135-Scale-RC-Helicopter-RTF-p-2009079.html?cur_warehouse=CN&ID=62878326292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
RC ERA C190 1:30 H145 Scale 2.4G 6CH  6-Axis Gyro Optical Flow Localization Altitude Hold Flybarless RC Helicopter RTF,US$154.00,4.63,190 reviews,RC Helicopter,https://www.banggood.com/RC-ERA-C190-1-30-H145-Scale-2_4G-6CH-6-Axis-Gyro-Optical-Flow-Localization-Altitude-Hold-Flybarless-RC-Helicopter-RTF-p-2015013.html?cur_warehouse=CN&ID=62878426292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
XK K110S 6CH Brushless 3D6G System RC Helicopter BNF Mode 2 Compatible With FUTABA S-FHSS,US$64.99,4.68,142 reviews,RC Helicopter,https://www.banggood.com/XK-K110S-6CH-Brushless-3D6G-System-RC-Helicopter-BNF-Mode-2-Compatible-With-FUTABA-S-FHSS-p-1981516.html?cur_warehouse=CN&ID=6292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
YXZNRC F11-S 1:32 AH-64 Apache Scale 2.4G 6CH GPS Altitude Hold Optical Flow Positioning 5.8G FPV Camera Dual Brushless Motor Flybarless RC Helicopter RTF,US$523.48,4.73,48 reviews,RC Helicopter,https://www.banggood.com/YXZNRC-F11-S-1-32-AH-64-Apache-Scale-2_4G-6CH-GPS-Altitude-Hold-Optical-Flow-Positioning-5_8G-FPV-Camera-Dual-Brushless-Motor-Flybarless-RC-Helicopter-RTF-p-2019446.html?cur_warehouse=CN&ID=55825562878366292556&rmmds=CategoryToysPop&trace_id=fd3a1763836782500
